ID,Metal,BDE,M-H,VMH,CoordNum,H,B,C,N,O,F,Si,P,S,Cl,Charge,LTrans,GrpNum
UTOLOG.Co.xyz,Co,49,1.485865,1898.3,5,1,0,1,0,0,0,0,0,0,0,0,6,9
UTOVUW.Ir.xyz,Ir,75.58,1.573686,2193.9,6,1,0,1,1,0,0,0,1,0,1,0,7,9
UTOWAD.Ir.xyz,Ir,67.42,1.563191,2236.6,7,1,0,1,1,0,0,0,1,0,1,0,0,9
UTOWEH.Ir.xyz,Ir,74.32,1.572866,2188.7,6,1,0,1,1,0,0,0,1,0,1,0,7,9
UTOWIL.Ir.xyz,Ir,76.5,1.576082,2178.4,6,2,0,1,1,0,0,0,1,0,0,0,7,9
UTOWUX.Ir.xyz,Ir,74.21,1.569449,2204.4,7,2,0,1,1,0,0,0,1,0,0,0,0,9
UTOXEI.Ir.xyz,Ir,75.18,1.576317,2178,6,2,0,1,1,0,0,0,1,0,0,0,7,9
UTOXOS.Ir.xyz,Ir,66.23,1.593708,2147,7,1,0,1,0,0,0,0,1,0,0,0,0,9
UTOYAF.Ir.xyz,Ir,69.64,1.543288,2334,7,3,0,1,1,0,0,0,1,0,0,1,6,9
UTOYIN.Ir.xyz,Ir,63.53,1.566467,2232.8,5,2,0,0,1,0,0,0,1,0,0,0,0,9
UTUWEN.Au.xyz,Au,73.19,1.567451,2169.8,4,1,0,1,1,0,0,0,0,0,0,0,7,11
UVAFOP.Ru.xyz,Ru,60.5,1.595241,1990.1,6,1,0,1,1,1,0,0,1,0,0,0,7,8
UVAJUZ.Ru.xyz,Ru,61.1,1.591941,2002.9,6,1,0,1,1,1,0,0,1,0,0,0,7,8
UVAKAG.Ru.xyz,Ru,60.44,1.595602,1985.2,6,1,0,1,1,1,0,0,1,0,0,0,7,8
UVAKEK.Ru.xyz,Ru,60.4,1.594017,1992.2,6,1,0,1,1,1,0,0,1,0,0,0,7,8
UVARIV.Ir.xyz,Ir,73.51,1.579094,2179.1,5,1,0,0,0,0,0,1,1,0,1,0,0,9
UVARUH.Ir.xyz,Ir,70.05,1.621581,2059.6,6,1,0,1,1,0,0,1,1,0,0,0,6,9
UVASAO.Ir.xyz,Ir,68.63,1.597982,2112.4,5,1,0,0,1,0,0,1,1,0,0,0,0,9
UVASIW.Ir.xyz,Ir,66.28,1.588824,2157.1,5,1,0,0,1,0,0,1,1,0,0,0,0,9
UVASUI.Ir.xyz,Ir,70.33,1.602829,2101.9,5,1,0,0,1,0,0,1,1,0,0,0,0,9
UVATAP.Ir.xyz,Ir,63.74,1.596888,2110.4,5,1,0,0,1,0,0,1,1,0,0,0,0,9
UVATET.Rh.xyz,Rh,64.69,1.557977,2039.7,5,1,0,0,0,0,0,1,1,0,1,0,0,9
UVAVUJ.Fe.xyz,Fe,54.68,1.504939,1936.6,9,1,0,1,0,0,0,1,0,0,0,0,0,8
UVAWAQ.Fe.xyz,Fe,52.9,1.506972,1937.2,9,1,0,1,0,0,0,1,0,0,0,0,0,8
UVAWIZ.Ir.xyz,Ir,61.61,1.586091,2197,9,1,0,1,1,0,0,1,0,0,0,1,0,9
UVOZOV.Ru.xyz,Ru,65.7,1.607107,1893.1,6,1,0,1,1,0,0,0,0,0,1,0,35,8
UVOZUB.Ru.xyz,Ru,55.89,1.602831,1906.8,6,1,0,1,1,0,0,0,0,0,1,0,35,8
